device_type,browser,operating_system,page_views,session_duration,age,abandoned_cart,user_category,marketing_target
0,3,0,6,129,40,1,1,2
1,2,4,7,132,40,1,1,2
1,2,2,5,214,40,1,1,2
1,3,3,10,261,40,1,1,2
1,3,1,4,174,40,1,1,2
0,2,2,4,210,40,1,1,2
1,1,4,10,259,40,1,1,2
2,1,3,5,34,40,1,1,2
1,1,2,6,111,40,0,2,1
1,1,4,9,70,40,0,2,1
0,2,1,4,269,40,0,2,1
0,3,1,5,250,40,0,2,1
0,2,0,8,231,40,0,2,1
1,2,2,8,276,40,0,2,1
0,0,0,9,31,40,0,2,1
0,0,2,4,142,40,0,2,1
2,3,4,6,183,40,0,2,1
2,1,4,7,156,40,0,2,1
2,2,4,6,152,40,0,2,1
2,0,3,8,281,40,0,2,1
2,0,0,6,140,40,0,2,1
0,2,0,7,267,40,0,2,1
0,0,3,6,80,40,0,2,1
1,0,4,3,236,43,0,2,1
0,0,2,10,214,43,0,2,1
0,0,4,4,127,43,0,2,1
2,1,4,8,24,43,0,2,1
0,1,0,3,122,43,0,2,1
2,0,2,6,173,43,0,2,1
0,3,3,8,51,43,0,2,1
0,2,3,10,155,43,0,2,1
0,0,1,10,216,43,0,2,1
2,3,0,7,152,43,0,2,1
0,0,2,6,172,43,0,2,1
2,2,4,7,238,56,1,2,1
1,2,4,10,103,56,1,2,1
0,1,2,4,263,56,1,2,1
0,1,0,5,105,56,1,2,1
1,2,0,6,286,56,1,2,1
2,1,1,9,64,56,1,2,1
0,0,1,5,138,56,1,2,1
1,1,4,9,52,56,1,2,1
2,0,0,8,206,56,1,2,1
2,2,2,10,51,42,0,0,2
1,2,0,6,110,42,0,0,2
1,0,2,6,276,42,0,0,2
0,0,4,3,300,42,0,0,2
0,0,1,10,142,42,0,0,2
1,1,4,5,159,42,0,0,2
1,0,3,10,210,42,0,0,2
0,2,4,3,49,33,1,2,1
2,3,3,7,134,33,1,2,1
2,2,3,5,32,33,1,2,1
0,0,2,3,71,33,1,2,1
2,1,4,10,255,33,1,2,1
2,1,2,10,152,33,1,2,1
0,3,1,3,294,33,1,2,1
1,1,3,9,193,33,1,2,1
0,3,0,10,72,33,1,2,1
0,3,1,3,100,33,1,2,1
1,3,4,3,81,33,1,2,1
2,2,3,10,233,33,1,2,1
1,0,0,9,155,48,1,1,1
1,3,1,5,85,48,1,1,1
0,2,4,10,107,48,1,1,1
0,1,0,6,32,48,1,1,1
1,1,4,10,29,48,1,1,1
1,1,2,5,138,48,1,1,1
1,3,0,8,173,48,1,1,1
2,1,4,7,165,48,1,1,1
2,0,2,10,155,50,1,1,1
1,3,2,7,70,50,1,1,1
0,3,0,8,101,50,1,1,1
0,3,0,8,134,50,1,1,1
2,2,2,6,151,50,1,1,1
2,1,2,5,127,70,1,2,1
0,0,3,6,106,70,1,2,1
0,3,0,10,162,70,1,2,1
1,0,1,10,273,70,1,2,1
0,3,4,4,114,70,1,2,1
1,3,1,3,226,22,0,0,1
0,3,4,9,210,22,0,0,1
2,0,2,3,165,22,0,0,1
1,0,0,7,228,22,0,0,1
2,2,2,6,33,22,0,0,1
0,2,1,5,258,22,0,0,1
1,0,0,8,269,24,0,2,1
0,2,3,3,241,24,0,2,1
0,1,3,10,226,24,0,2,1
2,3,2,7,235,24,0,2,1
2,3,3,7,79,24,0,2,1
0,2,4,6,59,24,0,2,1
1,0,2,9,28,24,0,2,1
1,1,2,9,27,24,0,2,1
0,0,3,4,268,68,0,0,1
1,3,3,9,282,68,0,0,1
0,2,3,6,206,68,0,0,1
1,1,4,9,91,68,0,0,1
1,0,3,10,108,68,0,0,1
0,1,1,8,299,61,1,1,1
1,0,4,8,212,61,1,1,1
0,1,2,3,24,61,1,1,1
2,2,3,10,169,61,1,1,1
1,2,1,6,284,61,1,1,1
1,1,4,6,40,61,1,1,1
2,2,0,9,229,18,0,0,1
1,3,3,4,233,18,0,0,1
1,0,1,7,173,18,0,0,1
2,1,0,8,223,18,0,0,1
1,1,0,3,191,18,0,0,1
0,2,0,6,99,18,0,0,1
2,3,1,8,219,18,0,0,1
1,3,2,7,157,18,0,0,1
2,3,0,8,41,18,0,0,1
2,1,4,3,298,18,0,0,1
0,0,0,10,197,18,0,0,1
1,0,2,6,49,18,0,0,1
1,3,3,4,193,18,0,0,1
2,3,1,8,131,18,0,0,1
2,3,2,7,76,43,0,0,1
0,3,3,5,206,43,0,0,1
1,2,4,6,40,43,0,0,1
2,1,1,5,131,43,0,0,1
0,1,4,4,106,43,0,0,1
2,2,3,7,150,43,0,0,1
1,1,1,9,21,43,0,0,1
0,3,4,5,149,43,0,0,1
2,2,2,5,239,43,0,0,1
0,3,3,5,218,50,0,1,2
2,0,0,6,181,50,0,1,2
0,3,0,3,232,50,0,1,2
2,2,4,10,242,50,0,1,2
1,0,2,5,84,50,0,1,2
1,3,1,4,283,50,0,1,2
1,1,4,4,265,50,0,1,2
0,1,2,3,82,50,0,1,2
0,3,1,4,296,50,0,1,2
0,1,0,9,40,50,0,1,2
1,3,3,6,288,50,0,1,2
1,3,3,8,282,50,0,1,2
2,0,4,10,198,47,1,1,1
0,0,0,8,64,47,1,1,1
1,0,2,7,66,47,1,1,1
0,1,4,8,199,47,1,1,1
0,3,1,8,88,47,1,1,1
0,0,3,4,180,47,1,1,1
2,1,2,7,275,47,1,1,1
0,1,4,6,24,20,0,1,1
2,1,4,7,130,20,0,1,1
2,0,1,7,204,20,0,1,1
1,0,2,6,217,20,0,1,1
2,3,4,10,135,20,0,1,1
0,1,0,3,114,20,0,1,1
2,1,0,7,121,20,0,1,1
0,2,2,9,274,20,0,1,1
1,0,4,5,25,20,0,1,1
1,0,1,6,27,20,0,1,1
0,0,1,8,141,43,1,2,2
2,3,4,10,194,43,1,2,2
0,1,0,9,176,43,1,2,2
0,3,2,7,70,43,1,2,2
2,0,1,7,231,43,1,2,2
1,1,1,3,196,43,1,2,2
0,3,3,10,90,43,1,2,2
0,1,3,6,176,43,1,2,2
1,0,2,6,264,43,1,2,2
2,0,0,10,100,43,1,2,2
2,2,3,5,248,43,1,2,2
2,3,3,5,102,43,1,2,2
1,3,2,10,277,43,1,2,2
1,0,4,7,165,43,1,2,2
2,1,0,8,180,60,0,1,1
2,0,1,8,107,60,0,1,1
2,0,0,10,195,60,0,1,1
0,0,3,4,57,60,0,1,1
1,3,2,3,238,60,0,1,1
0,2,1,7,44,60,0,1,1
0,2,0,7,95,22,0,2,1
1,1,4,3,122,22,0,2,1
0,0,2,8,153,22,0,2,1
0,2,1,6,80,22,0,2,1
0,1,0,6,226,22,0,2,1
2,3,3,6,54,22,0,2,1
1,0,0,7,208,22,0,2,1
1,2,3,10,291,22,0,2,1
2,2,1,3,293,22,0,2,1
2,1,0,8,64,22,0,2,1
0,0,0,3,134,22,0,2,1
1,3,2,5,184,22,0,2,1
0,1,0,6,298,55,0,2,1
0,0,2,7,154,55,0,2,1
1,0,4,10,44,55,0,2,1
1,1,2,5,265,55,0,2,1
2,0,3,7,271,55,0,2,1
2,3,1,3,197,55,0,2,1
1,1,2,3,86,55,0,2,1
2,3,2,9,238,55,0,2,1
1,1,0,4,137,55,0,2,1
2,1,4,8,288,55,0,2,1
1,3,4,4,286,55,0,2,1
0,0,4,4,278,55,0,2,1
1,1,2,7,111,55,0,2,1
0,3,3,6,101,55,0,2,1
1,2,3,6,197,54,0,1,3
2,2,0,9,279,54,0,1,3
2,2,2,7,275,54,0,1,3
0,2,3,9,218,54,0,1,3
0,2,0,5,109,54,0,1,3
1,3,1,3,209,54,0,1,3
1,0,3,10,94,54,0,1,3
2,0,1,8,149,54,0,1,3
0,0,1,8,223,54,0,1,3
2,1,1,10,170,54,0,1,3
0,2,1,5,272,54,0,1,3
0,2,3,4,252,54,0,1,3
1,1,4,6,256,18,1,1,1
2,1,3,8,237,18,1,1,1
0,1,1,7,114,18,1,1,1
0,1,3,10,23,18,1,1,1
1,3,1,3,150,18,1,1,1
1,2,1,5,198,18,1,1,1
2,2,3,9,204,18,1,1,1
2,1,2,4,111,18,1,1,1
2,1,0,4,124,18,1,1,1
0,1,4,9,181,18,1,1,1
0,0,3,10,293,18,1,1,1
2,0,1,5,144,18,1,1,1
2,3,0,9,83,18,1,1,1
0,2,1,3,215,29,1,0,1
2,1,4,3,275,29,1,0,1
2,0,1,5,167,29,1,0,1
0,2,0,5,238,29,1,0,1
1,3,0,7,111,29,1,0,1
2,0,2,8,78,29,1,0,1
1,2,4,5,73,29,1,0,1
0,2,3,6,157,29,1,0,1
0,1,3,4,290,29,1,0,1
0,1,0,7,196,29,1,0,1
0,3,3,5,228,63,1,0,1
1,0,1,8,63,63,1,0,1
0,3,3,9,149,63,1,0,1
0,3,0,10,158,63,1,0,1
1,1,2,3,24,63,1,0,1
1,1,0,9,175,64,0,0,1
0,1,3,9,274,64,0,0,1
2,1,0,4,121,64,0,0,1
1,2,3,3,285,64,0,0,1
0,0,4,6,55,64,0,0,1
2,1,1,10,86,64,0,0,1
2,1,1,3,261,64,0,0,1
0,0,1,5,122,64,0,0,1
0,2,4,5,115,64,0,0,1
2,2,4,7,112,64,0,0,1
1,0,1,8,87,64,0,0,1
1,2,1,6,62,64,0,0,1
1,3,1,7,108,69,1,1,1
0,2,0,5,49,69,1,1,1
1,2,3,6,97,69,1,1,1
0,2,2,5,198,69,1,1,1
2,1,4,4,57,69,1,1,1
2,2,3,10,161,69,1,1,1
0,1,4,8,248,69,1,1,1
1,0,0,4,169,69,1,1,1
0,0,2,3,248,36,0,1,1
0,2,2,4,148,36,0,1,1
2,3,4,10,164,36,0,1,1
1,2,1,7,215,36,0,1,1
2,3,2,4,288,36,0,1,1
2,2,3,6,157,25,1,2,1
1,0,3,9,89,25,1,2,1
1,3,3,9,175,25,1,2,1
2,3,3,7,93,25,1,2,1
1,0,2,3,128,25,1,2,1
2,3,4,9,220,25,1,2,1
2,1,4,9,238,25,1,2,1
1,0,3,8,212,25,1,2,1
0,1,0,8,170,25,1,2,1
2,0,4,8,83,25,1,2,1
1,1,0,5,33,64,1,1,1
1,1,2,4,120,64,1,1,1
1,0,0,6,68,64,1,1,1
1,1,4,9,105,64,1,1,1
0,1,4,6,30,64,1,1,1
1,1,1,8,162,64,1,1,1
0,3,4,8,227,64,1,1,1
0,1,2,9,137,62,0,2,3
0,0,1,6,33,62,0,2,3
1,2,1,9,116,62,0,2,3
2,1,0,8,251,62,0,2,3
0,2,4,6,186,62,0,2,3
2,3,4,9,70,61,1,1,1
1,0,3,6,179,61,1,1,1
2,2,4,10,31,61,1,1,1
2,3,0,4,236,61,1,1,1
2,3,4,8,287,61,1,1,1
0,0,3,3,125,61,1,1,1
1,1,2,8,225,61,1,1,1
1,1,1,5,171,61,1,1,1
0,1,3,8,157,61,1,1,1
0,0,4,5,165,61,1,1,1
2,1,3,4,217,61,1,1,1
1,3,2,9,188,61,1,1,1
0,0,2,8,71,61,1,1,1
2,3,2,10,147,61,1,1,1
0,1,1,7,177,61,1,1,1
1,1,4,10,234,44,0,2,1
1,1,4,8,223,44,0,2,1
2,0,4,4,255,44,0,2,1
2,3,1,10,85,44,0,2,1
0,0,0,9,104,44,0,2,1
2,0,0,5,156,44,0,2,1
2,2,0,4,171,44,0,2,1
1,1,1,3,177,44,0,2,1
1,1,4,8,67,18,1,2,1
2,1,2,9,77,18,1,2,1
1,1,1,5,127,18,1,2,1
0,0,1,9,183,18,1,2,1
2,2,0,6,263,18,1,2,1
2,0,2,10,216,18,1,2,1
2,2,0,4,290,18,1,2,1
1,2,4,6,216,18,1,2,1
0,1,1,5,285,18,1,2,1
2,1,0,6,185,18,1,2,1
1,1,3,9,142,18,1,2,1
0,1,1,10,260,18,1,2,1
1,0,0,10,30,18,1,2,1
2,0,4,5,103,70,1,2,1
0,0,2,5,101,70,1,2,1
1,0,4,7,254,70,1,2,1
0,3,3,9,157,70,1,2,1
1,1,0,3,218,70,1,2,1
1,2,1,10,119,70,1,2,1
2,1,2,8,139,70,1,2,1
0,0,1,5,71,70,1,2,1
1,1,3,4,199,70,1,2,1
1,0,4,8,276,70,1,2,1
0,2,4,6,266,70,1,2,1
0,2,3,6,258,70,1,2,1
1,3,4,6,53,70,1,2,1
0,2,3,6,102,70,1,2,1
1,3,3,9,92,43,1,1,1
2,3,4,8,181,43,1,1,1
2,2,0,3,272,43,1,1,1
0,0,1,9,136,43,1,1,1
2,2,2,6,52,43,1,1,1
1,1,1,10,81,43,0,0,2
0,3,3,10,239,43,0,0,2
0,2,1,7,140,43,0,0,2
1,2,0,10,144,43,0,0,2
2,3,0,9,134,43,0,0,2
0,3,0,9,215,43,0,0,2
2,0,3,7,247,43,0,0,2
1,2,1,10,114,43,0,0,2
0,1,1,5,241,43,0,0,2
0,1,3,10,274,43,0,0,2
0,1,0,6,36,63,0,1,1
1,3,3,6,186,63,0,1,1
0,3,3,5,127,63,0,1,1
2,1,1,8,78,63,0,1,1
0,0,0,5,109,63,0,1,1
2,2,3,7,238,63,0,1,1
2,0,4,8,62,49,1,0,2
0,0,1,8,73,49,1,0,2
0,2,0,8,227,49,1,0,2
0,1,3,7,278,49,1,0,2
2,2,0,6,60,49,1,0,2
2,2,4,7,214,49,1,0,2
0,2,0,9,140,49,1,0,2
0,0,2,10,254,49,1,0,2
0,2,4,9,181,49,1,0,2
1,3,3,8,245,49,1,0,2
0,2,3,7,134,49,1,0,2
1,2,1,10,267,49,1,0,2
2,0,1,3,165,49,1,0,2
1,1,2,4,169,49,1,0,2
0,2,1,9,49,59,1,2,3
0,3,1,10,84,59,1,2,3
0,0,0,9,130,59,1,2,3
1,3,3,6,211,59,1,2,3
1,0,4,5,41,59,1,2,3
1,1,1,6,92,59,1,2,3
0,3,2,4,70,38,1,0,2
0,3,2,7,220,38,1,0,2
0,2,1,9,191,38,1,0,2
1,0,2,3,81,38,1,0,2
1,1,1,6,236,38,1,0,2
0,0,1,3,103,38,1,0,2
2,3,0,9,247,38,1,0,2
2,1,4,9,270,38,1,0,2
0,3,4,7,193,38,1,0,2
2,3,3,4,224,38,0,2,2
0,1,1,5,196,38,0,2,2
2,0,4,3,26,38,0,2,2
1,1,0,6,200,38,0,2,2
1,3,2,3,174,38,0,2,2
2,3,2,9,294,38,0,2,2
2,2,0,10,150,38,0,2,2
0,0,4,9,134,38,0,2,2
1,2,3,10,275,38,0,2,2
2,3,3,9,108,70,0,2,1
1,3,3,8,74,70,0,2,1
2,0,2,8,132,70,0,2,1
1,2,2,4,291,70,0,2,1
2,0,0,8,82,70,0,2,1
1,1,3,10,31,70,0,2,1
2,2,1,3,283,70,0,2,1
1,2,2,10,230,70,0,2,1
1,3,4,4,63,70,0,2,1
2,1,0,3,115,70,0,2,1
0,3,4,5,292,70,0,2,1
1,3,3,10,254,67,1,0,1
1,1,0,3,190,67,1,0,1
1,0,4,5,116,67,1,0,1
1,2,2,7,37,67,1,0,1
1,2,2,4,149,67,1,0,1
2,1,1,7,42,48,0,1,1
0,0,1,5,242,48,0,1,1
0,2,4,5,55,48,0,1,1
2,2,3,10,29,48,0,1,1
2,0,4,9,58,48,0,1,1
2,0,0,9,191,48,0,1,1
0,1,0,5,96,48,0,1,1
1,3,2,9,65,48,0,1,1
1,0,4,7,30,26,0,0,1
2,2,0,5,274,26,0,0,1
0,2,1,8,49,26,0,0,1
1,3,3,5,262,26,0,0,1
0,1,3,9,82,26,0,0,1
2,2,2,6,256,26,0,0,1
2,0,3,10,204,26,0,0,1
2,1,4,5,184,43,1,2,1
0,1,4,6,75,43,1,2,1
2,3,0,9,46,43,1,2,1
2,2,0,6,179,43,1,2,1
2,1,0,8,168,43,1,2,1
1,2,1,10,122,43,1,2,1
2,3,4,9,66,43,1,2,1
0,1,4,9,220,43,1,2,1
2,1,3,5,138,45,1,1,1
1,2,1,7,72,45,1,1,1
0,1,4,9,193,45,1,1,1
2,2,4,8,221,45,1,1,1
1,0,2,4,296,45,1,1,1
0,0,1,9,25,45,1,1,1
1,0,2,7,56,49,1,0,1
2,2,3,9,220,49,1,0,1
0,2,0,3,38,49,1,0,1
0,2,4,5,208,49,1,0,1
1,0,4,4,90,49,1,0,1
1,0,0,9,251,49,1,0,1
1,0,3,7,270,49,1,0,1
0,1,0,3,300,23,0,2,1
0,3,3,4,242,23,0,2,1
0,0,2,8,149,23,0,2,1
0,0,1,9,131,23,0,2,1
0,0,3,6,270,23,0,2,1
0,0,4,10,272,23,0,2,1
1,3,1,4,270,23,0,2,1
1,0,4,5,293,23,0,2,1
1,2,3,10,297,23,0,2,1
0,1,4,7,193,23,0,2,1
0,1,2,6,242,23,0,2,1
1,2,2,10,127,23,0,2,1
2,3,2,3,46,23,0,2,1
1,0,3,4,80,23,0,2,1
1,2,4,4,191,38,0,0,1
2,0,1,3,83,38,0,0,1
0,0,1,6,195,38,0,0,1
0,1,2,5,241,38,0,0,1
2,1,1,9,76,38,0,0,1
2,3,0,8,187,38,0,0,1
2,2,3,3,70,38,0,0,1
0,2,2,9,221,38,0,0,1
2,1,0,7,89,38,0,0,1
1,1,1,5,132,38,0,0,1
0,3,0,9,224,38,0,0,1
2,2,4,5,72,38,0,0,1
2,0,2,4,270,44,1,2,1
1,2,3,5,153,44,1,2,1
1,2,1,8,132,44,1,2,1
2,2,4,8,175,44,1,2,1
1,0,2,6,193,44,1,2,1
1,2,0,10,120,44,1,2,1
0,3,3,3,254,44,1,2,1
2,2,4,3,250,44,1,2,1
0,2,1,7,178,44,1,2,1
0,3,3,7,71,44,1,2,1
2,1,1,8,73,44,1,2,1
0,1,1,6,246,44,1,2,1
0,0,1,10,82,44,1,2,1
0,0,2,9,65,44,1,2,1
2,0,2,3,57,66,1,2,1
1,2,4,6,95,66,1,2,1
2,2,4,9,177,66,1,2,1
2,1,2,8,67,66,1,2,1
1,1,0,5,54,66,1,2,1
2,1,2,10,182,66,1,2,1
2,1,0,5,145,64,0,0,1
1,3,4,3,193,64,0,0,1
1,1,3,6,48,64,0,0,1
1,0,4,10,290,64,0,0,1
0,3,3,8,158,64,0,0,1
2,0,4,6,140,64,0,0,1
2,3,4,7,150,63,1,0,1
1,0,0,7,186,63,1,0,1
2,0,2,7,36,63,1,0,1
2,3,4,6,196,63,1,0,1
0,2,4,6,37,63,1,0,1
0,1,3,3,298,63,1,0,1
1,0,4,5,288,63,1,0,1
1,3,2,10,182,63,1,0,1
1,0,3,9,200,63,1,0,1
1,1,4,6,36,63,1,0,1
1,3,4,7,279,63,1,0,1
1,1,0,7,154,63,1,0,1
1,1,3,8,212,63,1,0,1
2,1,4,5,167,63,1,0,1
2,3,3,4,213,41,1,2,2
1,0,1,7,49,41,1,2,2
0,2,2,8,245,41,1,2,2
2,1,1,10,158,41,1,2,2
0,3,1,8,259,41,1,2,2
1,1,0,7,142,37,1,0,2
0,2,0,7,209,37,1,0,2
2,3,4,3,171,37,1,0,2
1,3,4,6,211,37,1,0,2
1,0,3,3,250,37,1,0,2
2,0,1,6,121,37,1,0,2
2,0,4,4,77,37,1,0,2
0,1,3,4,238,37,1,0,2
1,3,4,6,181,37,1,0,2
1,1,1,3,275,37,1,0,2
2,0,4,7,274,37,1,0,2
2,1,1,8,119,37,1,0,2
1,0,2,4,277,37,1,0,2
2,0,2,4,290,37,1,0,2
2,1,0,8,49,37,1,0,2
1,1,3,3,55,57,0,1,1
1,2,1,5,172,57,0,1,1
0,0,3,7,164,57,0,1,1
1,1,2,8,49,57,0,1,1
1,3,0,8,123,57,0,1,1
1,0,3,3,23,57,0,1,1
1,1,3,10,165,38,0,1,1
2,0,4,10,224,38,0,1,1
1,0,1,10,89,38,0,1,1
2,0,1,9,83,38,0,1,1
0,0,2,6,217,38,0,1,1
2,2,3,7,278,38,0,1,1
1,1,2,7,28,38,0,1,1
0,3,4,7,26,38,0,1,1
2,0,3,3,250,38,0,1,1
2,1,4,4,230,38,0,1,1
2,3,3,3,217,38,0,1,1
2,2,3,5,151,38,0,1,1
0,1,3,4,123,38,0,1,1
0,3,4,6,40,38,0,1,1
2,0,3,9,29,35,1,2,1
2,1,3,5,109,35,1,2,1
0,3,2,4,256,35,1,2,1
0,0,1,10,56,35,1,2,1
1,2,1,5,20,35,1,2,1
1,1,2,3,174,35,1,2,1
1,0,2,3,261,35,1,2,1
2,3,1,9,104,35,1,2,1
2,0,0,6,190,35,1,2,1
0,2,3,6,283,35,1,2,1
0,2,2,7,129,35,1,2,1
2,1,1,3,121,35,1,2,1
0,3,1,10,158,35,1,2,1
1,2,3,8,38,35,1,2,1
0,0,0,6,275,23,1,1,1
1,3,4,6,56,23,1,1,1
2,2,4,7,216,23,1,1,1
1,1,4,5,184,23,1,1,1
1,0,1,10,54,23,1,1,1
0,1,3,7,57,23,1,1,1
0,0,4,5,37,23,1,1,1
0,1,1,4,280,23,1,1,1
1,1,0,4,260,23,1,1,1
2,0,2,4,70,23,1,1,1
0,2,1,8,62,23,1,1,1
1,3,1,10,136,23,1,0,3
2,3,3,4,209,23,1,0,3
0,2,3,5,246,23,1,0,3
0,1,0,8,78,23,1,0,3
2,2,3,4,276,23,1,0,3
2,2,3,5,266,19,0,0,1
2,3,4,8,108,19,0,0,1
0,0,4,4,139,19,0,0,1
1,3,0,8,183,19,0,0,1
2,2,3,9,58,19,0,0,1
1,0,2,3,74,19,0,0,1
1,1,1,6,131,19,0,0,1
1,0,3,10,175,19,0,0,1
0,3,4,3,237,19,0,0,1
0,0,1,4,22,55,1,1,1
2,0,0,5,139,55,1,1,1
2,1,0,9,128,55,1,1,1
0,0,4,5,183,55,1,1,1
0,2,4,10,54,55,1,1,1
0,1,2,4,241,55,1,1,1
0,0,3,4,46,55,1,1,1
1,3,1,4,97,55,1,1,1
1,1,2,9,224,48,1,0,1
1,3,3,8,70,48,1,0,1
0,0,3,7,226,48,1,0,1
0,3,4,7,184,48,1,0,1
1,0,0,4,284,48,1,0,1
0,3,1,4,76,48,1,0,1
0,2,2,5,296,48,1,0,1
1,2,1,10,277,48,1,0,1
0,3,1,3,55,48,1,0,1
2,1,4,10,25,48,1,0,1
2,3,3,10,65,48,1,0,1
2,1,0,10,154,30,0,2,2
1,1,4,7,277,30,0,2,2
2,1,2,9,214,30,0,2,2
0,1,4,8,219,30,0,2,2
2,2,2,5,220,30,0,2,2
2,0,1,6,59,30,0,2,2
2,1,3,5,123,64,0,2,1
1,0,0,7,188,64,0,2,1
1,0,2,8,240,64,0,2,1
0,2,3,7,59,64,0,2,1
0,0,0,9,101,64,0,2,1
2,1,0,5,69,28,0,1,1
2,1,4,4,205,28,0,1,1
0,2,4,6,116,28,0,1,1
1,3,3,10,131,28,0,1,1
1,0,2,6,221,28,0,1,1
0,2,0,7,30,28,0,1,1
0,1,3,7,47,28,0,1,1
2,3,0,4,264,28,0,1,1
1,2,4,9,119,26,1,1,1
2,3,4,6,132,26,1,1,1
0,3,2,3,258,26,1,1,1
0,3,3,5,53,26,1,1,1
2,2,4,5,144,26,1,1,1
0,0,0,5,151,26,1,1,1
2,3,3,5,176,26,1,1,1
0,3,4,6,182,26,1,1,1
1,1,1,4,216,26,1,1,1
2,0,4,7,80,26,1,1,1
2,0,2,5,118,26,1,1,1
2,0,3,9,175,18,0,1,1
2,0,3,3,260,18,0,1,1
